2026-05-10 02:47:40 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 02:48:57 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 02:50:13 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 02:51:29 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 02:52:45 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 02:54:01 INFO Pomiar: deszczówka=138 cm (16%), szambo=76 cm (54%)
2026-05-10 02:55:18 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 02:56:35 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 02:57:51 INFO Pomiar: deszczówka=138 cm (16%), szambo=76 cm (54%)
2026-05-10 02:59:09 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 03:00:25 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 03:01:42 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 03:02:58 INFO Pomiar: deszczówka=138 cm (16%), szambo=76 cm (54%)
2026-05-10 03:04:15 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 03:05:32 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 03:06:48 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 03:08:04 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 03:09:21 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 03:10:37 INFO Pomiar: deszczówka=140 cm (15%), szambo=76 cm (54%)
2026-05-10 03:11:53 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 03:13:09 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 03:14:26 INFO Pomiar: deszczówka=140 cm (15%), szambo=76 cm (54%)
2026-05-10 03:15:42 INFO Pomiar: deszczówka=140 cm (15%), szambo=76 cm (54%)
2026-05-10 03:16:59 INFO Pomiar: deszczówka=140 cm (15%), szambo=76 cm (54%)
2026-05-10 03:18:17 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 03:19:33 INFO Pomiar: deszczówka=140 cm (15%), szambo=76 cm (54%)
2026-05-10 03:20:50 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 03:22:06 INFO Pomiar: deszczówka=140 cm (15%), szambo=76 cm (54%)
2026-05-10 03:23:23 INFO Pomiar: deszczówka=140 cm (15%), szambo=76 cm (54%)
2026-05-10 03:24:39 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 03:25:56 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 03:27:12 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 03:28:28 INFO Pomiar: deszczówka=141 cm (14%), szambo=76 cm (54%)
2026-05-10 03:29:44 INFO Pomiar: deszczówka=140 cm (15%), szambo=76 cm (54%)
2026-05-10 03:31:01 INFO Pomiar: deszczówka=140 cm (15%), szambo=76 cm (54%)
2026-05-10 03:32:17 INFO Pomiar: deszczówka=140 cm (15%), szambo=76 cm (54%)
2026-05-10 03:33:34 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 03:34:51 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 03:36:07 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 03:37:23 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 03:38:40 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 03:39:57 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 03:41:14 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 03:42:31 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 03:43:47 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 03:45:04 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 03:46:21 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 03:47:37 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 03:48:54 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 03:50:11 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 03:51:28 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 03:52:44 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 03:54:01 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 03:55:18 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 03:56:35 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 03:57:52 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 03:59:09 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 04:00:26 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 04:01:43 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 04:03:00 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 04:04:16 INFO Pomiar: deszczówka=139 cm (15%), szambo=75 cm (54%)
2026-05-10 04:05:32 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 04:06:50 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 04:08:07 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 04:09:23 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 04:10:39 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 04:11:58 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 04:13:14 INFO Pomiar: deszczówka=139 cm (15%), szambo=76 cm (54%)
2026-05-10 04:14:31 INFO Pomiar: deszczówka=140 cm (15%), szambo=76 cm (54%)
